number,title,body
572,[Metrics] Common Metrics - Burstiness,"**Description**:
- Short timeframes of intense activity, followed by a corresponding return to a typical pattern of activity, observed in a project.
- Burstiness is a way of understanding the cycle of activity in existing metrics, like issues, merge requests, mailing lists, commits, or comments.

**Filters**
- Stars
- Forks
- Issues or bug reports
- Labels
- Downloads
- Release Tags
- Change Requests
- Documentation additions or revisions
- New Repositories
- Feature Requests

**Instances of Implementation** 
![image]()
![image]()



**Resource**
- CHAOSS: Common Metrics -> When
- 
"
573,[Metrics] Common Metrics - Review Cycle Duration within a Change Request,"**Description**:
- The duration of a review cycle within a single change request.
- This metric provides maintainers with insight on:  Code review process decay, as there are more iterations and review cycle durations increase. **Process bottlenecks resulting in long code review iterations**.


**Filters**
- Average or Median Duration
#### optionally filtered or grouped by: 
- Number of people involved in review 
- Number of comments in review 
- Edits made to a change request 
- Project or program Organization making the change request 
- Time the change request was submitted 
- Developers who contributed to a change request 
- Change request 
- Number of review cycle on a change request

**Instances of Implementation** 
Review Cycle Duration is measured as the time length of one review cycle within a single change request. 
The duration can be calculated between: 
- The moment when each review cycle begins, defined as the point in time when a change request is submitted or updated. 
- The moment when each review cycle ends, either because **the change request was updated and needs a new review** or **because it was accepted or rejected**.


**Resource**
- CHAOSS: Common Metrics -> When
- link: "
574,[Metrics] Common Metrics - Time to First Response,"**Description**
- How much time passes between when an activity requiring attention is created and the first response?
- A long time to respond to an activity can be a sign that a community is not responsive. A short time to respond to an activity can help to engage more members into further discussions and within the community

**Filters**
- Role of responder, e.g., only count maintainer responses
- Automated responses, e.g., only count replies from real people by filtering bots and other automated replies
- Type of Activity, e.g., issues (see metric **Issue Response Time**), change requests


**Instances of Implementation** 
`Time to first response of an activity = time first response was posted to the activity - time the activity was created
`
![image]()
![image]()


**Resource**
CHAOSS: Common Metrics -> When
"
575,[Metrics] Common Metrics - Time to Close,"**Description**:
- How much time passes between creating and closing an operation such as an issue, change request, or support ticket?
- The time to close is the total amount of time that passes between the creation and closing of an operation such as an issue, change request, or support ticket.

**Filters**
- Creator of operation (e.g., new contributor vs. maintainer)
- First closed, final closed
- Labels (e.g., bug vs. new feature)
- Change Request Merge Status (e.g. Time to Merge or Time to Close without Merge)

**Instances of Implementation** 
![image]()

**Resource**
CHAOSS: Common Metrics -> When
"
576,[Metrics] Common Metrics - Contributor Location,"**Description**:
- Geographical location from which contributors contribute, where they live, or where they work.
- To determine global locations of contributors in an effort to understand work practices and times zones. To identify where contributions do not come from in an effort to improve engagement in these areas.

**Filters**
- Location is a purposely ambiguous term in this context, and could refer to region, country, state, locale, or **time zone.**

**Instances of Implementation** 
![image]()
![image]()



**Resource**
CHAOSS: Common Metrics -> Who
"
577,[Metrics] Common Metrics - Contributors,"**Description**:
- A contributor is defined as anyone who contributes to the project in any way

**Instances of Implementation** 
- Total number of contributors during a given time period
- Aggregate by level of engagement
- Change in the number of active contributors over time
![image]()
- New contributors
![image]()


**Resource**
CHAOSS: Common Metrics -> Who
"
578,[Metrics] Code Changes,"**Description**
- For ""change"" we consider what developers consider an atomic change to their code.
- In other words, a change is some change to the source code which usually is accepted and merged as a whole, and if needed, reverted as a whole too.
- In the case of git, each ""change"" corresponds to **a ""commit"" that touches files considered as source code.**

**Implementation**
- Commits by week
- Commits by actors `(committers or normal contributors)`
- Commits by tag `(a fix for a bug or an improvement of a feature)`

**Resource**
CHAOSS: Evolution -> Code Development Activity
"
579,[Metrics] Code Changes Lines,"**Description**
- The sum of the number of lines touched (lines added plus lines removed) in all changes to the source code during a certain period
- Lines of code will be any line of a source code file, including comments and blank lines.

**Objective**
Although code changes can be a proxy to the coding activity of a project, not all changes are the same. Considering the aggregated number of lines touched in all changes gives a complementary idea of how large the changes are, and in general, how large is **the volume of coding activity**.

**Implementation**
[CHAOSS instance of Bitergia Analytics](#/dashboard/f13af0e0-18e5-11e9-ba47-d5cbef43f8d3?_g=()&_a=(description:'Lines%20of%20Code%20Changed%20Panel%20from%20CHAOSS%20GMD%20collection',filters:!(('$state':(store:appState),meta:(alias:Bots,disabled:!f,index:git,key:author_bot,negate:!t,params:(query:!t,type:phrase),type:phrase,value:true),query:(match:(author_bot:(query:!t,type:phrase)))),('$state':(store:appState),meta:(alias:Merges,disabled:!f,index:git,key:files,negate:!t,params:(query:'0',type:phrase),type:phrase,value:'0'),query:(match:(files:(query:'0',type:phrase))))),fullScreenMode:!f,options:(darkTheme:!f,hidePanelTitles:!f,useMargins:!t),panels:!((gridData:(h:12,i:'1',w:20,x:12,y:0),id:'8e02b3f0-18e5-11e9-ba47-d5cbef43f8d3',panelIndex:'1',title:'Lines%20Added%20vs.%20Lines%20Removed%20Evolution',type:visualization,version:'6.8.6'),(gridData:(h:12,i:'2',w:12,x:0,y:12),id:'48726f20-18e4-11e9-ba47-d5cbef43f8d3',panelIndex:'2',title:'Big%20Numbers',type:visualization,version:'6.8.6'),(gridData:(h:12,i:'3',w:12,x:0,y:0),id:'26c4cd40-18e5-11e9-ba47-d5cbef43f8d3',panelIndex:'3',title:'Lines%20of%20Code%20Changed',type:visualization,version:'6.8.6'),(embeddableConfig:(vis:(params:(config:(searchKeyword:''),sort:(columnIndex:!n,direction:!n)))),gridData:(h:24,i:'4',w:16,x:32,y:0),id:c1148b70-18e4-11e9-ba47-d5cbef43f8d3,panelIndex:'4',title:Repositories,type:visualization,version:'6.8.6'),(gridData:(h:12,i:'5',w:48,x:0,y:24),id:fd8b9650-1981-11e9-ba47-d5cbef43f8d3,panelIndex:'5',title:'Lines%20of%20Code%20Changed',type:visualization,version:'6.8.6'),(gridData:(h:12,i:'6',w:20,x:12,y:12),id:'311c0c50-1984-11e9-ba47-d5cbef43f8d3',panelIndex:'6',title:'Commits%20Evolution',type:visualization,version:'6.8.6')),query:(language:lucene,query:''),timeRestore:!f,title:'Lines%20of%20Code%20Changed',viewMode:view))
![image]()

**Resource**
CHAOSS: Evolution -> Code Development Activity
"
580,[Metrics] Change Requests,"**Description**
- What new change requests to the source code occurred during a certain period?
- **""Change requests"" correspond to ""pull requests"" in the case of GitHub**, to ""merge requests"" in the case of GitLab, and to ""code reviews"" or in some contexts ""changesets"" in the case of Gerrit

**Implementation**
- Count per month over time
- Status (open, closed)
#/dashboard/GitHub-Pull-Requests
![image]()


**Resource**
CHAOSS: Evolution -> Code Development Process Quality
"
581,[Metrics] Change Requests Accepted,"**Description**
- Accepted change requests are those that end with the corresponding changes finally merged into the code base of the project.

**Implementation**
- Count. Total number of accepted change requests during the period.
- Ratio. Ratio of accepted change requests over total number of change requests during that period.
#/dashboard/a7b3fd70-ef16-11e8-9be6-c962f0cee9ae
![image]()


**Resource**
CHAOSS: Evolution -> Code Development Efficiency
"
582,[Metrics] Change Requests Declined,"**Description**
- Declined change requests are those that are finally closed without being merged into the code base of the project.

**Implementation**
Count. Total number of declined change requests during the period.
Ratio. Ratio of declined change requests over the total number of change requests during that period.

**Resource**
CHAOSS: Evolution -> Code Development Activity"
583,[Metrics] Change Requests Duration,"**Description**
- The change request duration is the duration of the period since the change request started, to the moment it ended (by being accepted and being merged in the codebase). **This only applies to accepted change requests.**
- In case there are comments or other events after the code is merged, they are not considered for measuring the duration of the change request.

**Implementation**
- Median. Median (50% percentile) of change request duration for all accepted change requests in the considered period of time.

**Resource**
CHAOSS: Evolution -> Code Development Activity
"
584,[Metrics] Change Request Acceptance Ratio,"**Description**
Each change request can be in one of three states: **open, merged (accepted), and closed without merge
(declined)**. This metric measures the ratio of change requests merged (accepted) vs change requests
closed without being merged.

**Instance of Implementation**
![image]()

**Resource**
CHAOSS: Evolution -> Code Development Activity
"
585,[Metrics] New Issues,"**Description**
What are the number of new issues created during a certain period?

**Implementation**
- Count. Total number of new issues during the period.
- Ratio. Ratio of new issues over total number of issues during that period.
#/dashboard/GitHub-Issues

**Resource**
CHAOSS: Evolution -> Issue Resolution
"
586,[Metrics] Active Issues,"**Description**
- How many issues were active during a certain period?
- Issues showing some activity are those that had some comment, or some change in state (including closing the issue), during a certain period.
- In GitHub Issues, a comment, a new tag, or the action of closing an issue, is considered as a sign of activity.

**Implementation**
- Count. Total number of active issues during the period.
- Ratio. Ratio of active issues over total number of issues during that period.
- #/dashboard/GitHub-Issues

**Resource**
CHAOSS: Evolution -> Issue Resolution
"
587,[Metrics] Closed Issues,"**Description**
- How many issues were closed during a certain period?
- Issues closed are those that changed to state closed during a certain period.

**Implementation**
- Count. Total number of active issues during the period.
- Ratio. Ratio of active issues over total number of issues during that period.
- Reactions. **Number of ""thumb-ups"" or other reactions on issues.**
#/dashboard/GitHub-Issues

**Resource**
CHAOSS: Evolution -> Issue Resolution
"
588,[Metrics] Issue Age,"**Description**
- How long have open issues been left open?
- If an issue has been closed but re-opened again within that period will be considered as having remained open since its **initial opening date.**

**Objectives**
- When the issue age is increasing, identify the oldest open issues in a project to gain insight as to why they have been open for an extended period of time. 
- Additionally, to understand how well maintainers are resolving issues and how quickly issues are resolved.

**Implementation**
- Average. Average age of all open issues.
- Median. Median age of all open issues.
- Filter by: module, tags/labels on issue
![image]()
![image]()


**Resource**
CHAOSS: Evolution -> Issue Resolution
"
589,[Metrics] Issue Response Time,"**Description**
- This metric is an indication of how much time passes between the opening of an issue and a response from other contributors.
- This metric is a specific case of the **[Time to First Response metric]()** in the **Common working group.**

**Filters**
- response from role in project (e.g., first maintainer response)
- bot versus human (e.g., filter out automated “welcome first contributor messages”)
- opened by role in project (e.g., responsiveness to new contributors versus long-timers)
- date issue was opened
- status of issue (e.g., only look at currently open issues)

**Implementation**
- Average. Average response time in days.
- Median. Median response time in days.
![image]()


**Resource**
CHAOSS: Evolution -> Issue Resolution
"
590,[Metrics] Issue Resolution Duration,"**Description**
- This metric is an indication of how long an issue remains open, on average, before it is closed.
- For issues that were reopened and closed again, only **the last close date** is relevant for this metric.

**Implementation**
- Issue Resolution Duration = Timestamp of issue closed - Timestamp of issue opened
- Average. Average amount of time (in days, by default) for an issue in the repository to be closed.

**Resource**
CHAOSS: Evolution -> Issue Resolution
"
591,[Metrics] Inactive Contributors,"**Description**
- How many Contributors have stopped contributing over a specific period of time.
- The period of time required for a contributor to be counted as inactive can be decided by a variable and this metric will display the number of contributors that have been labeled as inactive over a given time frame.

**Filters**
- Minimum contributions required to be considered active
- Period of time to determine inactivity
- Start date/End date

**Implementation**
The metric will take in two variables - **a time period** and a **interval.**
- time period: the period over which the number of inactive members will be displayed
- interval: determine how long it takes for a contributor to be labeled as inactive

The metric will work by:
1. getting a list of all contributors
2. checking the last contribution date
3. if the last contribution date is before the cutoff then add them to the inactivity count of the period they last contributed in.
4. create list of inactive contributors

**Resource**
CHAOSS: Evolution -> Community Growth
"
592,[Metrics] New Contributors,"This is a specific implementation of the [Contributor]() #577  metric.

For each Contributor, only consider their first contribution.

![image]()

**Resource**
CHAOSS: Evolution-> Community Growth


CHAOSS: Common Metrics -> Who

"
593,[Metrics] New Contributors Closing Issues,"**Description**
- This metric is an indication of the volume of contributors who are closing issues for their first time within a given project.
- When a contributor closes an issue for the first time it is some indication of ""stickiness"" of the individual within that project, especially for contributors who are not also committers.
- **That is, New Issue Closers**

**Implementation**
- Count. Total number of contributors closing issues on this project **for the first time** during a given time period.
- Ratio.  Proportion of contributors closing issues on this project **for the first time** during a given time period, computed against all contributors having closed issues on this project during the same time period.

e.g. Table with names of contributors who closed an issue for the first time and when that was.

**Resource**
CHAOSS: Evolution -> Community Growth
"
594,[Metrics] Bus Factor,"**Description**
- How high is the risk to a project should the most active people leave?
- The Bus Factor is the smallest number of people that make 50% of contributions.

**Objective**
- Identify how widely the work in a project is distributed across contributors. 
- Identify the key people in a project that are doing the majority of the work.

**Implementation**
Adding up each contributor's contributions sorted in decreasing order until we reach the threshold(50% of all contributions).

![image]()
**The Bus Factor for the CHAOSS Project in 2020, when considering only git commits, was 5.**


**Resource**
CHAOSS: Risk -> Business Risk
"
597,[Feature] We need an underlying period selector,"Thanks to @xiaoya-Esther we got lots of metrics to implement and most of them require time period and growth comparison with older data. So we may need an underlying component to support period records selector to help SQL components to select data with different time period configuration.

Time period configuration may include: `week`, `month`, `season`, `annual`."
598,[WeeklyReport] Weekly report for open-digger 2021-5-31 to 2021-6-7,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 14 | 61 (-) | 30 (-) | 15 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 28 | 4 | 4 | 5 |

## PR Overview

Thanks to contributions from community, **5** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|
| @frank-zsy | 3 | #567 [Feature] Update docker with full VSCode data <br>#569 [Feature] Support unit test for single case study <br>#595 [Doc] Update wechat group qrcode <br> |
| @sunshinemingo | 1 | #542 add_handbook <br> |
| @open-digger-bot | 1 | #596 [Docs] Update report auto-update-contributors-1622642400862 <br> |


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|
| @frank-zsy | 1 |


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
599,about the code of Weekly Report,"Dear open-digger-ers!
Awesome job!
May I ask if the bot code for generating Weekly Report is accessible or open-sourced? 
I did a rough search to find this:  , while it seems lacking in ""new contributor"" information.

Thanks!!!
BR//Wey"
602,[Feature Request]add a weekly case study for SOFAStack&MOSN community,"## Requirements
After submiting the issue #557 ,I talked with @frank-zsy and we managed to find out an easier way to generate weekly reports for the specific repositorys.
Here is the approach :
1. Add a case study about the repos,with a 'where 'statement in the sql to filter out the event logs only in last 7 days.
2. Run the case study every week to generate a weekly report,using the data in ClickHouse. (I would appreciate it if it can be generated on Saturday before 4 p.m.)

So I come here to submit a feature request to add a weekly case study for SOFAStack&MOSN community.

## Details
The dimensions and format displayed in the weekly report can be same with the ""GitHub most active 20 repositories"" report. The only difference is that I just want the statistics based on the event logs in **last week** and **in specific repositorys**.
![image]()

It is better to add a new column 'new contributors'.But it is ok if the program don't do that automatically,since I can do it myself.

## Related Repositorys 
Here is the repos included in the report.

Org | Repo
-- | --
mosn | mosn
sofastack | sofa-jraft
sofastack | sofa-boot
sofastack | sofa-rpc
sofastack | sofa-rpc-node
sofastack | sofa-ark
sofastack | sofa-registry
sofastack | sofa-hessian-node
sofastack | sofa-bolt
sofastack | sofa-tracer
sofastack | sofa-hessian
sofastack | sofa-bolt-node
sofastack | sofa-bolt-cpp
sofastack | sofa-jarslink
sofastack | sofa-node
sofastack | sofa-bolt-python
sofastack | sofa-lookout
sofastack | sofa-acts
sofastack | sofa-dashboard


Thanks a lot!




"
603,[WeeklyReport] Weekly report for open-digger 2021-6-7 to 2021-6-14,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 14 | 61 (-) | 30 (-) | 15 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
605,[WeeklyReport] Weekly report for open-digger 2021-6-14 to 2021-6-21,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 14 | 61 (-) | 30 (-) | 15 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
607,[Discussion] We need to label issues and prs,"Label issues and prs in different dimensions, such as category, importance, difficulty and other dimensions, so that developers can better understand the situation of issues and prs.

This is the labels I organized: "
610,[feature] Add links outside of GitHub to the README file,"Now, we're talking about how to transfer the meeting notes to GitHub. I think we should add the link to the shimo document of the meeting notes to the README file first. In addition, a summary of resources and documentation should be added to GitHub. If feasible, add the meeting URL to GitHub as well.

List of links:
- [x] [OpenDigger Open Source Meeting]()
- [x] [{ GitHub 全域数字年报开源项目 } 文档与资源]()
- [x] [Meeting Room:]() (Room ID: 627 8609 7587) Every Thursday at 12:00 am GMT+8

"
611,[feature] [Discussion] Some suggestions on system design,"
There are currently some problems with this project:

Each customized requirement needs to be completed manually every time. If A customizes several index reports for Project A, and B customizes the same index report for B, it seems that it needs to be written twice at present. For the general index of the report, such as the monthly data growth, it cannot be completed by the customer. It needs to submit the requirements to the project team and the project team manually deploys it online.

Regarding the above questions, I put forward some suggestions for improvement of the system:

1. Modify some specific data in SQL as parameters, and pass the parameters to SQL through Shell to complete the data query. You can also check the parameters in the shell script.

2. Increase the account system, members can select the indicators they need according to the list, and let the background generate new reports according to the set time (of course these may incur additional expenses, and there are many rules that need to be discussed).

---
目前这个项目存在一些问题：

每个定制的需求需要每次手动的完成。如果A定制了A项目的几个指数报表，B定制了B同样的指数报表,目前似乎需要写两遍。对于报表的通用型指数——比如每月数据增长量，不能由客户自己完成，需要向项目组提交需求，项目组手动部署上线。

对于以上的问题，提出对系统的一些改进意见：

1.  将 SQL 中的一些具体的数据修改为参数，通过 Shell 将参数传递给 SQL, 完成数据的查询。在 shell 脚本中还可以对完成对参数的检查。

2.  增加账号系统，会员可以根据列表选择自己需要的指标，并让后台按设定的时间产生新的报告(当然这些可能会产生额外的开支，也有许多规则需要讨论)。

"
612,[feature] Add more description and a link to Bilibili's video,"The contributors to this repository have uploaded many of the videos to Bilibili, and it might be useful to include a brief description of the project and a link to the project in the introductory section of the video or in the comments section where it is Topped."
613,[Discussion] About the granularity of the template,"At the 15th weekly meeting, contributors proposed to divide the components into templates and diagrams.
I suggest making some adjustments to this scheme. The template should be divided into two types: **report** and **sub-module**.
**Sub-module**: One is text and graphs about a certain statistical data (it is very important to be able to configure the position relationship between graphs and texts), and the other is pure explanatory text (this is mainly an introduction to the project).
**Report**: A report rendered by sub-modules, queried data, and copywriting based on the queried data (for example, OpenDigger Global Study Report).

---

在第 15 次周会上，贡献者提出将组件分为**模板**和**图表**两种。
我建议对这种方案做一些调整，模板应该分为**报告**和**子模块**两种。
**子模块**：一种是关于某个统计数据的文字和图表（能够配置图表和文字的位置关系是非常重要的），另一种是单纯的说明文字（这种主要是对项目的介绍）。
**报告**：由子模块、查询出来的数据和根据查询出的数据编写的文案渲染出来的报告（比如：OpenDigger Global Study Report）。
"
614,The slack invitation link is out of date,It's better to update the link for other to join the conversation.
615,[WeeklyReport] Weekly report for open-digger 2021-6-21 to 2021-6-28,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 14 | 61 (-) | 30 (-) | 15 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
618,[WeeklyReport] Weekly report for open-digger 2021-6-28 to 2021-7-5,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 14 | 61 (-) | 30 (-) | 15 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
620,[WeeklyReport] Weekly report for open-digger 2021-7-5 to 2021-7-12,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 14 | 61 (-) | 30 (-) | 15 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
622,[Bug] OSSChat maybe have a problem,OSSChat cannot synchronize GitHub information to WeChat.
623,[discussion] 关于 “活跃度” 相关讨论,"在[开源数字洞察报告会议-第16次]()中关于“活跃度“称呼的问题讨论，这里想延续下讨论：
先说结论——我支持”活跃度“这一称呼。
”度“——可以泛指按一定计量标准划分的单位，如”温度“、”湿度“......
而一个项目的每一个操作如 issue，pr 都可以称为一次”活跃“。
""活跃度""这一称呼问题不大。"
624,[discussion] Star Should NOT be Counted as Activeness,"The active of ""star"" is essentially a marker that expresses the prospective user's interest in the project, not the activity of the project itself.

If it is to be counted as activity, the weight should be adjusted to a very low level.

---

”star“这种行为本质上是一种标记，表达的是准用户对项目的观望，不能算项目本身的活动。

如果实在要算作活动，应该把权重调整到非常低。
"
625,[discussion] About calculating the loss of contributors,"In [this meeting](), Frank proposed that if a contributor has not been active for more than half a year, he is considered to be lost from the community. In my opinion, this issue cannot be prescribed artificially and a conclusion should be drawn through data analysis.

We should count the maximum value of the time interval between a contributor's two active activities in a project. Analyze the relationship between this data and some influencing factors such as the project life cycle.

---

在[这次会议]()中，Frank 提出如果一个贡献者超过半年没有活跃，就认为他从社区流失了。我认为，这个问题不能人为规定，应该通过数据分析得出结论。

我们应该统计一个贡献者在一个项目两次活跃时间间隔的最大值。分析这个数据与一些影响因素如项目生命周期的关系。

---

**Talk is cheap. Show me your data.** "
626,[WeeklyReport] Weekly report for open-digger 2021-7-12 to 2021-7-19,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 14 | 61 (-) | 30 (-) | 15 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
629,[WeeklyReport] Weekly report for open-digger 2021-7-19 to 2021-7-26,"# Weekly Report of open-digger

This is a weekly report of open-digger. It summarizes what have changed in the project during the passed week, including pr merged, new contributors, and more things in the future.

## Repo Overview

### Basic data

Baisc data shows how the watch, star, fork and contributors count changed in the passed week.

| Watch | Star | Fork | Contributors |
|:-----:|:----:|:----:|:------------:|
| 14 | 61 (-) | 30 (-) | 15 (-) |

### Issues & PRs

Issues & PRs show the new/closed issues/pull requests count in the passed week.

| New Issues | Closed Issues | New PR | Merged PR |
|:----------:|:-------------:|:------:|:---------:|
| 0 | 0 | 0 | 0 |

## PR Overview

Thanks to contributions from community, **0** pull requests was merged in the repository last week. They are:

| Contributor ID | Count | Pull Requests |
|:--------------:|:-----:|:-------------|


## Code Review Statistics

open-digger encourages everyone to participant in code review, in order to improve software quality.
This robot would automatically help to count pull request reviews of single github user as the following every week. So, try to help review code in this project.

| Contributor ID | Pull Request Reviews |
|:--------------:|:--------------------:|


## New Contributors

We have no new contributors in this project this week.
open-digger team encourages everything about contribution from community.
For more details, please refer to  .
"
